s_m,x_m,y_m
13.602755867,9.318617358,4.769759798
13.624695796,9.330730639,4.793199284
13.646635724,9.342860475,4.816514565
13.668575653,9.355001967,4.839708742
13.690515582,9.367151472,4.862784325
13.712455511,9.379305955,4.885743510
13.734395440,9.391460042,4.908583788
13.756335369,9.403608212,4.931302866
13.778275297,9.415747271,4.953903192
13.800215226,9.427874527,4.976386933
13.822155155,9.439988299,4.998755694
13.844095084,9.452087050,5.021010945
13.866035013,9.464169255,5.043154089
13.887974941,9.476233410,5.065186462
13.909914870,9.488278070,5.087109304
13.931854799,9.500302372,5.108923481
13.953794728,9.512305823,5.130629582
13.975734657,9.524287943,5.152228119
13.997674586,9.536247498,5.173718169
14.019614514,9.548179344,5.195092109
14.041554443,9.560082074,5.216349204
14.063494372,9.571955252,5.237489909
14.085434301,9.583798495,5.258514587
14.107374230,9.595611440,5.279423537
14.129314158,9.607393737,5.300216995
14.151254087,9.619145054,5.320895138
14.173194016,9.630864942,5.341458165
14.195133945,9.642552861,5.361906286
14.217073874,9.654208292,5.382239664
14.239013803,9.665830741,5.402458413
14.260953731,9.677419741,5.422562600
14.282893660,9.688970982,5.442546073
14.304833589,9.700479593,5.462403085
14.326773518,9.711944323,5.482134255
14.348713447,9.723363967,5.501740170
14.370653375,9.734737371,5.521221381
14.392593304,9.746063421,5.540578415
14.414533233,9.757340785,5.559811938
14.436473162,9.768567864,5.578922779
14.458413091,9.779743101,5.597911756
14.480353020,9.790864994,5.616779667
14.502292948,9.801932099,5.635527291
14.524232877,9.812942985,5.654155421
14.546172806,9.823895232,5.672663705
14.568112735,9.834782378,5.691045407
14.590052664,9.845601769,5.709300281
14.611992592,9.856351597,5.727429361
14.633932521,9.867030127,5.745433666
14.655872450,9.877635657,5.763314236
14.677812379,9.888166496,5.781072139
14.699752308,9.898621027,5.798708446
14.721692237,9.908997713,5.816224223
14.743632165,9.919295099,5.833620539
14.765572094,9.929511823,5.850898463
14.787512023,9.939646665,5.868059037
14.809451952,9.949698522,5.885103302
14.831391881,9.959666538,5.902032587
14.853331809,9.969549803,5.918847967
14.875271738,9.979347257,5.935550122
14.897211667,9.989057961,5.952139736
14.919151596,9.998681120,5.968617481
14.941091525,10.008216042,5.984984056
14.963031454,10.017662127,6.001240193
14.984971382,10.027018870,6.017386666
15.006911311,10.036285854,6.033424295
15.028851240,10.045462656,6.049354013
15.050791169,10.054548880,6.065176841
15.072731098,10.063544231,6.080893864
15.094671026,10.072449943,6.096508996
15.116610955,10.081274439,6.112039670
15.138550884,10.090018786,6.127489072
15.160490813,10.098682203,6.142857883
15.182430742,10.107263886,6.158146874
15.204370671,10.115763102,6.173356875
15.226310599,10.124179181,6.188488775
15.248250528,10.132511482,6.203543543
15.270190457,10.140758687,6.218522561
15.292130386,10.148918894,6.233427555
15.314070315,10.156990231,6.248260304
15.336010243,10.164970874,6.263022633
15.357950172,10.172859049,6.277716411
15.379890101,10.180661755,6.292364574
