s_m,x_m,y_m
14.239013803,11.017902242,4.604885652
14.260953731,11.029410933,4.622379694
14.282893660,11.040964299,4.639960476
14.304833589,11.052566209,4.657633250
14.326773518,11.064217541,4.675398140
14.348713447,11.075919106,4.693255259
14.370653375,11.087671660,4.711204709
14.392593304,11.099475902,4.729246589
14.414533233,11.111332530,4.747380970
14.436473162,11.123242255,4.765607890
14.458413091,11.135205739,4.783927403
14.480353020,11.147223603,4.802339576
14.502292948,11.159296422,4.820844504
14.524232877,11.171424699,4.839442326
14.546172806,11.183609343,4.858134392
14.568112735,11.195854205,4.876927505
14.590052664,11.208159779,4.895823272
14.611992592,11.220525878,4.914822297
14.633932521,11.232952277,4.933925244
14.655872450,11.245438533,4.953132948
14.677812379,11.257983886,4.972446478
14.699752308,11.270587518,4.991866989
14.721692237,11.283248581,5.011395703
14.743632165,11.295966198,5.031033917
14.765572094,11.308739418,5.050783033
14.787512023,11.321566903,5.070644738
14.809451952,11.334447112,5.090620898
14.831391881,11.347378292,5.110713133
14.853331809,11.360358588,5.130922989
14.875271738,11.373386262,5.151252348
14.897211667,11.386459366,5.171703290
14.919151596,11.399575530,5.192278206
14.941091525,11.412732305,5.212979602
14.963031454,11.425927204,5.233810076
14.984971382,11.439157705,5.254772310
15.006911311,11.452421209,5.275869100
15.028851240,11.465714640,5.297103558
15.050791169,11.479034589,5.318479026
15.072731098,11.492377593,5.339998920
15.094671026,11.505738904,5.361664307
15.116610955,11.519107810,5.383463884
15.138550884,11.532479816,5.405398164
15.160490813,11.545850945,5.427470455
15.182430742,11.559217045,5.449684176
15.204370671,11.572573902,5.472042788
15.226310599,11.585917239,5.494549796
15.248250528,11.599242673,5.517208762
15.270190457,11.612545015,5.540023620
15.292130386,11.625818349,5.562998607
15.314070315,11.639056652,5.586137963
15.336010243,11.652253802,5.609445909
15.357950172,11.665403579,5.632926644
15.379890101,11.678491329,5.656565005
15.401830030,11.691502207,5.680345362
15.423769959,11.704429556,5.704271135
15.445709888,11.717266631,5.728345664
15.467649816,11.730006591,5.752572200
15.489589745,11.742642481,5.776953912
15.511529674,11.755166529,5.801494137
15.533469603,11.767570028,5.826196398
15.555409532,11.779844109,5.851064076
15.577349460,11.791979792,5.876100387
15.599289389,11.803967985,5.901308371
15.621229318,11.815799370,5.926690923
15.643169247,11.827461832,5.952244596
15.665109176,11.838933472,5.977933502
15.687049104,11.850203949,6.003752463
15.708989033,11.861265010,6.029702393
15.730928962,11.872108327,6.055784001
15.752868891,11.882725593,6.081997766
15.774808820,11.893108562,6.108343918
15.796748749,11.903248943,6.134822481
15.818688677,11.913138386,6.161433263
15.840628606,11.922768491,6.188175862
15.862568535,11.932130929,6.215049625
15.884508464,11.941218309,6.242053446
15.906448393,11.950023677,6.269185920
15.928388321,11.958534573,6.296419963
15.950328250,11.966740122,6.323727684
15.972268179,11.974635731,6.351106250
15.994208108,11.982217603,6.378552557
16.016148037,11.989483597,6.406063096
16.038087966,11.996431807,6.433634282
16.060027894,12.003060352,6.461262495
16.081967823,12.009367374,6.488944088
16.103907752,12.015351196,6.516675355
16.125847681,12.021011907,6.544452296
16.147787610,12.026350760,6.572270770
16.169727538,12.031369063,6.600126693
16.191667467,12.036067626,6.628011822
16.213607396,12.040445210,6.655896813
16.235547325,12.044504817,6.683773244
16.257487254,12.048251817,6.711636830
16.279427183,12.051691928,6.739483420
16.301367111,12.054830908,6.767309041
16.323307040,12.057674547,6.795109889
16.345246969,12.060228709,6.822882326
16.367186898,12.062500101,6.850622817
16.389126827,12.064496162,6.878327966
16.411066755,12.066224373,6.905994573
16.433006684,12.067692231,6.933619635
