#timestamp x y z qx qy qz qw
1787393494.65615106 -5.86665815 3.89938230 -0.13781713 -0.01947005 0.02358848 0.66795055 0.74357687
1787393495.45623922 -5.77519866 5.02376372 -0.16165924 -0.01776098 0.02941077 0.70499615 0.70837842
1787393496.25631666 -5.96282938 6.02312504 -0.18661802 -0.01682602 0.02823954 0.77825665 0.62708532
1787393497.15630817 -6.77305418 6.73792331 -0.20819209 -0.02201534 0.03563871 0.97658272 0.21102466
1787393498.05614114 -7.68073002 6.18969957 -0.20558669 0.02594177 -0.01836833 -0.90835996 0.41697939
1787393498.85632420 -7.87293073 5.18850942 -0.18415448 0.01775185 -0.00670954 -0.76891182 0.63907313
1787393499.65620661 -8.07905232 4.09710215 -0.15395788 0.01538122 -0.00528256 -0.74858340 0.66284117
1787393500.45640922 -7.93476607 2.97514195 -0.12608446 0.01342011 0.00370694 -0.59860118 0.80092621
1787393501.15620661 -7.55882221 2.02453963 -0.10242260 0.01226636 0.00805187 -0.53724312 0.84329979
1787393501.95619321 -6.75593881 1.23669527 -0.06941885 0.00663920 0.00564097 -0.29519312 0.95539789
1787393502.65619373 -5.76677948 1.08399360 -0.07046734 -0.00041454 0.01645590 -0.00197381 0.99986256
1787393503.35630560 -4.75578341 0.98405725 -0.05688412 -0.00275509 0.01200937 -0.05903605 0.99817981
1787393504.05618358 -3.62932937 0.76985721 -0.04037275 -0.00452201 0.01727639 -0.08997844 0.99578359
1787393504.75616932 -2.51892005 0.52214389 -0.03204202 -0.00341485 0.01295565 -0.10705778 0.99416252
1787393505.45625710 -1.45002345 0.33090673 -0.02375393 0.00237865 0.01410382 -0.08799193 0.99601850
1787393506.15619707 -0.36097144 0.18799295 -0.01029047 -0.00034760 0.01263998 -0.03926613 0.99914878
1787393506.85611844 0.70906926 0.04557567 0.00680744 0.00252879 0.02131494 -0.04658656 0.99868362
1787393507.55622625 1.76375857 -0.00427802 0.02368275 -0.00301392 0.01280110 -0.00143384 0.99991249
1787393508.25618052 2.82985356 -0.03511568 0.02699421 -0.00210781 0.01380321 -0.03016940 0.99944727
1787393508.95613027 3.90928450 -0.17013787 0.03609956 0.00064203 0.01088704 -0.06128944 0.99806045
1787393509.65625715 4.95723262 -0.34221230 0.05286044 -0.00626167 0.01701333 -0.04965312 0.99860198
1787393510.45631909 6.05378017 -0.50264880 0.06756747 -0.00501502 0.01027177 -0.05771655 0.99826757
1787393511.25668216 7.13147028 -0.51075396 0.08101755 -0.00892483 0.01637882 0.03822367 0.99909511
1787393511.95624709 8.16557078 -0.43897349 0.08576491 -0.00929960 0.01715348 0.06222783 0.99787122
1787393512.65622139 9.17151340 -0.25172556 0.08657440 -0.00549206 0.02173865 0.13985523 0.98991807
1787393513.35617924 10.01254364 0.35470680 0.07024627 -0.01091434 0.02855584 0.38930688 0.92060067
1787393514.15620828 10.48427074 1.36477158 0.04564656 -0.01177370 0.02692796 0.59698237 0.80171586
1787393515.15614724 10.29394033 2.35381509 0.02463402 -0.01460685 0.02870180 0.80358854 0.59431331
1787393516.15624666 10.02251963 3.39933343 0.00413618 -0.01819846 0.02628963 0.79627037 0.60409533
1787393517.05622911 10.09631126 4.43157643 -0.02670094 -0.01655420 0.02575992 0.63039594 0.77566961
1787393517.95632839 10.49926615 5.48534760 -0.04727797 -0.01890709 0.02768579 0.55405029 0.83180784
